name,price_per_night,accommodation_type,distance_label,highlights_section,hotel_rating,user_rating_count,user_average_rating,user_comment,country,city,checkin,checkout,rooms,guests,day_of_week,day_of_month,month,free_wifi,pool,parking,aircond,restaurant,hotel_bar,balcony_patio,spa,gym,hairdryer,kitchen,non_smoking_room,tv_ent,washing_machine,holiday,holiday_name
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,161.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Crowne Plaza Kuala Lumpur City Centre,683.0,Entire House / Apartment,Kuala Lumpur,0,9.3,224.0,9.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Else Kuala Lumpur,618.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,1,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Dorsett Hartamas Kuala Lumpur,161.0,Hotel,Kuala Lumpur,1,4.0,3006.0,8.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Crowne Plaza Kuala Lumpur City Centre,683.0,Entire House / Apartment,Kuala Lumpur,0,9.3,224.0,9.3,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Else Kuala Lumpur,618.0,Hotel,Kuala Lumpur,1,9.5,347.0,9.5,,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"Hotel Indigo Kuala Lumpur on the Park, an IHG Hotel",647.0,Hotel,Kuala Lumpur,1,5.0,442.0,9.0,Excellent,Malaysia,Kuala Lumpur,2025-01-01,2025-01-02,1,2,Wednesday,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
